Depot,Fleet Number,Vehicle Registration Number,Vehicle Make,Vehicle Model,Vehicle Operator,is AC?,Service Type,Registration Date,Status
Saidapet Depot,J0275,TN01AN0729,Tata,BS-4,MTC,No,Express,21-10-2013,Active
Semmenchery Depot,J0072,TN01N9964,Ashok Leyland,BS-4,MTC,No,Ordinary,29-03-2012,Active
Semmenchery Depot,J0071,TN01N9956,Ashok Leyland,BS-4,MTC,No,Ordinary,29-03-2012,Active
Ambathur Depot,J0651,TN01AN1315,Tata,BS-4,MTC,No,Small Bus (Ordinary),07-02-2016,Active
Ambathur Depot,J0311,TN01AN0768,Tata,BS-4,MTC,No,Small Bus (Ordinary),18-02-2014,Active
Ambathur Depot,J0257,TN01AN0696,Tata,BS-4,MTC,No,Small Bus (Express),21-10-2013,Active
Adambakkam Depot,J0223,TN01AN0560,Ashok Leyland,BS-4,MTC,No,Ordinary,21-11-2012,Active
Adambakkam Depot,J0237,TN01AN0625,Ashok Leyland,BS-4,MTC,No,Ordinary,14-06-2013,Active
Poonamallee Depot,J1689,TN01AN3286,Tata,BS-4,MTC,No,Deluxe,31-10-2019,Active
Poonamallee Depot,J1688,TN01AN3305,Tata,BS-4,MTC,No,Deluxe,31-10-2019,Active
Poonamallee Depot,J1681,TN01AN3304,Tata,BS-4,MTC,No,Deluxe,31-10-2019,Active
Vadapalani Depot,J0288,TN01AN0700,Tata,BS-4,MTC,No,Small Bus (Express),21-10-2013,Active
Vadapalani Depot,J0696,TN01AN1400,Tata,BS-4,MTC,No,Small Bus (Express),29-02-2016,Active
Vadapalani Depot,J0688,TN01AN1364,Tata,BS-4,MTC,No,Small Bus (Express),29-02-2016,Active
Vadapalani Depot,J0319,TN01AN0778,Tata,BS-4,MTC,No,Small Bus (Express),18-02-2014,Active
Vadapalani Depot,J0648,TN01AN1285,Tata,BS-4,MTC,No,Small Bus (Express),05-02-2016,Active
Vadapalani Depot,J0286,TN01AN0688,Tata,BS-4,MTC,No,Small Bus (Express),21-10-2013,Active
Vadapalani Depot,J0642,TN01AN1255,Tata,BS-4,MTC,No,Small Bus (Express),05-02-2016,Active
Vadapalani Depot,J0689,TN01AN1360,Tata,BS-4,MTC,No,Small Bus (Express),29-02-2016,Active
Poonamallee Depot,J1716,TN01AN3341,Tata,BS-4,MTC,No,Deluxe,01-01-2020,Active
Poonamallee Depot,J1714,TN01AN3334,Tata,BS-4,MTC,No,Deluxe,01-01-2020,Active
Poonamallee Depot,J1713,TN01AN3335,Tata,BS-4,MTC,No,Deluxe,01-01-2020,Active
Poonamallee Depot,J1699,TN01AN3313,Tata,BS-4,MTC,No,Deluxe,08-12-2019,Active
Poonamallee Depot,J1698,TN01AN3404,Tata,BS-4,MTC,No,Deluxe,09-12-2019,Active
Poonamallee Depot,J1693,TN01AN3424,Tata,BS-4,MTC,No,Deluxe,09-12-2019,Active
Tondiarpet-1 Depot,J0337,TN01AN0744,Tata,BS-4,MTC,No,Small Bus (Express),18-02-2014,Active
Adambakkam Depot,K1250,TN01AN5695,Ashok Leyland,BS-6,MTC,No,Ordinary,21-11-2025,Active
Adambakkam Depot,J0305,TN01AN0752,Tata,BS-4,MTC,No,Express,18-02-2014,Active
Adambakkam Depot,K1233,TN01AN5635,Ashok Leyland,BS-4,MTC,No,Ordinary,N/A,Active
Adambakkam Depot,K1232,TN01AN5634,Ashok Leyland,BS-4,MTC,No,Ordinary,N/A,Active
Kalaignar Nagar Depot,K1189,TN01AN5632,Ashok Leyland,BS-4,MTC,No,Deluxe,N/A,Active
Kundrathur Depot,I3386,TN01N9706,Ashok Leyland,BS-4,MTC,No,Ordinary,08-08-2011,Active
Iyyappanthangal Depot,J0277,TN01AN0704,Tata,BS-4,MTC,No,Express,21-10-2013,Active
Iyyappanthangal Depot,J0278,TN01AN0727,Tata,BS-4,MTC,No,Express,21-10-2013,Active
Iyyappanthangal Depot,J0281,TN01AN0720,Tata,BS-4,MTC,No,Express,21-10-2013,Active
Iyyappanthangal Depot,I1399,TN01N5689,Ashok Leyland,BS-3,MTC,No,Ordinary,11-01-2008,Active
Iyyappanthangal Depot,I1394,TN01N5683,Ashok Leyland,BS-3,MTC,No,Ordinary,11-01-2008,Active
Iyyappanthangal Depot,I1391,TN01N5685,Ashok Leyland,BS-3,MTC,No,Ordinary,11-01-2008,Active
Iyyappanthangal Depot,I1313,TN01N5479,Ashok Leyland,BS-3,MTC,No,Ordinary,31-12-2007,Active
Iyyappanthangal Depot,I3055,TN01N9115,Ashok Leyland,BS-3,MTC,No,Ordinary,17-03-2010,Active
Iyyappanthangal Depot,I3054,TN01N9114,Ashok Leyland,BS-3,MTC,No,Ordinary,17-03-2010,Active
